key,ref_notes,pred_notes,pitch_model_corrections,split_model_corrections,offset_model_corrections,cache_hit,matches,missed,extra,precision,recall,f1,note_accuracy,onset_matches,onset_missed,onset_extra,missed_onset,extra_onset,wrong_pitch,bad_offset,merged_notes,false_split,octave_error,onset_precision,onset_recall,onset_f1,onset_only_mae_ms,onset_pitch_acc,onset_pitch_mae_st,onset_offset_acc,onset_mae_ms,offset_mae_ms,duration_mae_ms,pitch_mae_st,global_shift_st,time_shift_ms,frame_pitch_acc,frame_voice_recall,frame_false_alarm,wav,midi,missed_preview,extra_preview,onset_missed_preview,onset_extra_preview
M04_0476_0002_1,31,33,0,0,0,1,17,14,16,0.5151515151515151,0.5483870967741935,0.53125,0.5483870967741935,29,2,4,2,4,10,3,0,1,0,0.8787878787878788,0.9354838709677419,0.90625,35.891137931034514,0.6551724137931034,0.6551724137931034,0.7586206896551724,37.14670588235303,42.89352941176469,53.806352941176044,0.0,12,-154.6620000000001,0.7055306427503737,0.938288920056101,0.5263157894736842,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_wav.zip!wav_data_sync_with_midi/M04_0476_0002_1.wav,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_midi.zip!midi_data/M04_0476_0002_1.mid,C5 F4 G4 C5 G4 D5 A#4 G4,E3 F#3 G3 A#3 G3 C#4 D4 A3,C5 C5,G3 D4 A3 B3
M04_0477_0002_2,22,24,0,0,0,1,17,5,7,0.7083333333333334,0.7727272727272727,0.7391304347826088,0.7727272727272727,21,1,3,1,3,1,3,0,1,0,0.875,0.9545454545454546,0.9130434782608695,17.672595238095262,0.9523809523809523,0.09523809523809523,0.8095238095238095,19.058617647058888,24.17820588235305,30.578117647058853,0.0,12,-137.25649999999968,0.9138655462184874,0.9206963249516441,1.0,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_wav.zip!wav_data_sync_with_midi/M04_0477_0002_2.wav,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_midi.zip!midi_data/M04_0477_0002_2.mid,D5 A4 A4 E5 E5,D4 A3 B3 A3 E4 E4 F#4,E5,A3 E4 F#4
M04_0479_0002_2_D,41,42,0,0,0,1,19,22,23,0.4523809523809524,0.4634146341463415,0.4578313253012048,0.4634146341463415,33,8,9,8,9,7,7,1,2,0,0.7857142857142857,0.8048780487804879,0.7951807228915663,49.59833333333301,0.7878787878787878,0.36363636363636365,0.6666666666666666,53.132631578947304,49.38610526315736,61.26021052631572,0.0,12,-112.01700000000159,0.8408408408408409,0.8809523809523809,0.16666666666666666,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_wav.zip!wav_data_sync_with_midi/M04_0479_0002_2_D.wav,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_midi.zip!midi_data/M04_0479_0002_2_D.mid,G#4 G4 G#4 G4 C4 C4 G#4 G4,G#3 G#3 G#3 G3 D#3 C3 B2 A3,G4 G4 G#4 G#4 G4 G4 G#3 A#3,G#3 B2 A3 G#3 G#3 G3 A#2 G#2
M04_0480_0002_1_D,48,52,0,0,0,1,22,26,30,0.4230769230769231,0.4583333333333333,0.43999999999999995,0.4583333333333333,42,6,10,6,10,18,2,0,1,0,0.8076923076923077,0.875,0.8400000000000001,25.848904761904834,0.5714285714285714,0.5476190476190477,0.8333333333333334,18.46304545454548,30.200500000000517,33.35372727272701,0.0,12,-141.42400000000066,0.6505681818181818,0.9214659685863874,0.0,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_wav.zip!wav_data_sync_with_midi/M04_0480_0002_1_D.wav,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_midi.zip!midi_data/M04_0480_0002_1_D.mid,E4 G4 A4 C5 G4 D4 G4 A4,E3 G#3 A3 C4 G#3 C#3 F#3 A3,E4 A4 C5 E4 E4 A3,G#3 A3 C4 E3 E3 F#3 A2 A2
M04_0482_0001_1,28,17,0,0,0,1,11,17,6,0.6470588235294118,0.39285714285714285,0.4888888888888888,0.39285714285714285,13,15,4,15,4,1,1,0,1,0,0.7647058823529411,0.4642857142857143,0.5777777777777777,32.86134615384627,0.9230769230769231,0.15384615384615385,0.8461538461538461,32.77186363636368,39.3300454545456,53.314272727272844,0.0,12,-149.6865,0.9166666666666666,0.48214285714285715,0.1111111111111111,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_wav.zip!wav_data_sync_with_midi/M04_0482_0001_1.wav,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_midi.zip!midi_data/M04_0482_0001_1.mid,B4 G4 A4 A4 D4 E5 F5 E5,B3 F3 G3 A3 G3 A3,B4 A4 D4 E5 F5 E5 D5 C5,B3 G3 A3 G3
M04_0492_0002_2_D,23,22,0,0,0,1,16,7,6,0.7272727272727273,0.6956521739130435,0.711111111111111,0.6956521739130435,22,1,0,1,0,2,4,1,0,0,1.0,0.9565217391304348,0.9777777777777777,26.061727272727307,0.9090909090909091,0.09090909090909091,0.8181818181818182,28.822062500000023,29.649500000000025,28.98856250000008,0.0,12,-154.9250000000002,0.8851774530271399,0.863063063063063,0.0,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_wav.zip!wav_data_sync_with_midi/M04_0492_0002_2_D.wav,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_midi.zip!midi_data/M04_0492_0002_2_D.mid,C4 A#3 D#4 D#4 D#4 A3 A#3,C3 A#2 D3 D#3 G#2 A#2,D#4,
M04_0494_0001_2_D,20,19,0,0,0,1,16,4,3,0.8421052631578947,0.8,0.8205128205128205,0.8,17,3,2,3,2,2,1,0,0,0,0.8947368421052632,0.85,0.8717948717948718,24.108647058823443,0.8823529411764706,0.23529411764705882,0.8235294117647058,29.577312499999913,36.413499999999935,34.62818750000009,0.0,12,-137.10449999999997,0.8092783505154639,0.91725768321513,0.0,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_wav.zip!wav_data_sync_with_midi/M04_0494_0001_2_D.wav,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_midi.zip!midi_data/M04_0494_0001_2_D.mid,B3 B3 F#3 F#4,C#3 F#2 F#3,B3 D4 F#4,E3 F#3
M04_0494_0002_2_D,21,23,0,0,0,1,11,10,12,0.4782608695652174,0.5238095238095238,0.5,0.5238095238095238,21,0,2,0,2,8,2,0,1,0,0.9130434782608695,1.0,0.9545454545454545,24.245380952381005,0.6190476190476191,0.38095238095238093,0.8571428571428571,24.625909090909158,35.676727272727334,33.7053636363636,0.0,12,-113.21400000000014,0.609254498714653,0.9174528301886793,1.0,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_wav.zip!wav_data_sync_with_midi/M04_0494_0002_2_D.wav,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_midi.zip!midi_data/M04_0494_0002_2_D.mid,B3 F#4 C#4 C#4 A3 F#3 C#4 C#4,C3 D3 C3 F3 C3 C3 A2 G2,,D3 C3
M04_0496_0002_2,30,37,0,0,0,1,18,12,19,0.4864864864864865,0.6,0.5373134328358209,0.6,28,2,9,2,9,5,5,0,3,0,0.7567567567567568,0.9333333333333333,0.835820895522388,33.3785714285711,0.8214285714285714,0.35714285714285715,0.6428571428571429,29.057666666666254,40.23416666666644,44.82138888888884,0.0,12,-122.63700000000011,0.8673565380997178,0.9163793103448276,0.46511627906976744,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_wav.zip!wav_data_sync_with_midi/M04_0496_0002_2.wav,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_midi.zip!midi_data/M04_0496_0002_2.mid,C#4 A4 G#4 F#4 C#4 A4 C#4 C#5,C#3 D#3 G#3 F#3 C#3 C#3 A3 C#3,G#4 F#4,D#3 F#3 C#3 B3 C#4 C#4 C#4 B3
M05_0010_0001_2_D,24,22,0,0,0,1,17,7,5,0.7727272727272727,0.7083333333333334,0.7391304347826088,0.7083333333333334,21,3,1,3,1,1,3,0,0,0,0.9545454545454546,0.875,0.9130434782608695,17.258833333333314,0.9523809523809523,0.09523809523809523,0.8095238095238095,12.804088235294122,22.591147058823367,28.340117647058577,0.0,0,-202.4244999999998,0.9024390243902439,0.902,0.0,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_wav.zip!wav_data_sync_with_midi/M05_0010_0001_2_D.wav,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_midi.zip!midi_data/M05_0010_0001_2_D.mid,G3 A3 F3 E3 G3 F3 C3,A3 F3 G3 F3 C3,A3 E3 F3,F3
